id,order_id,symbol,side,order_type,status,qty,filled_qty,avg_fill_price,submitted_at,filled_at,created_at,broker
777,99e9dad1-cdcc-4bad-9168-8421df6bc8f3,FUBO,sell,stop,filled,804,804,12.23,2026-04-09 16:42:07.602428+00:00,2026-04-09 16:42:08.506590+00:00,2026-04-09 16:45:07.056119+00:00,ALPACA
822,b30c72c9-12e6-45e9-9880-51004497d9b7,INTC,sell,stop,canceled,165,0,,2026-04-09 16:45:14.563659+00:00,,2026-04-09 20:30:41.771962+00:00,
778,f1688c81-2688-4c6b-bb39-8058eef6b974,INTC,buy,market,filled,165,165,60.25,2026-04-09 16:45:14.582335+00:00,2026-04-09 16:45:15.496672+00:00,2026-04-09 16:45:15.218974+00:00,ALPACA
779,7fdd5c09-87da-4885-b1d9-66c836c61ae0,AMD,sell,stop,filled,27,27,234.123333,2026-04-09 16:47:18.709279+00:00,2026-04-09 16:47:20.135168+00:00,2026-04-09 16:55:07.782810+00:00,ALPACA
821,9057c2c1-772e-4abc-9281-5c4a158a9f88,RIVN,sell,stop,canceled,654,0,,2026-04-09 16:55:18.092904+00:00,,2026-04-09 20:30:40.724222+00:00,
780,7a6a3abd-515d-485a-913c-0a7f48440145,RIVN,buy,market,filled,654,654,15.28,2026-04-09 16:55:18.100199+00:00,2026-04-09 16:55:19.925008+00:00,2026-04-09 16:55:18.724706+00:00,ALPACA
820,ece63b27-53b8-4938-967d-da1fdcd60336,RIVN,sell,limit,canceled,654,0,,2026-04-09 16:55:19.961033+00:00,,2026-04-09 20:30:40.378270+00:00,
819,6747c44d-1c40-477e-9b42-92277fb8f769,GRAB,sell,stop,canceled,721,0,,2026-04-09 17:05:23.465911+00:00,,2026-04-09 20:30:39.684721+00:00,
781,803c787d-7a64-4fa7-97f7-32a59f48872c,GRAB,buy,market,filled,721,721,3.69,2026-04-09 17:05:23.481840+00:00,2026-04-09 17:05:24.920903+00:00,2026-04-09 17:05:24.124038+00:00,ALPACA
783,4b6ea0da-7bf1-4339-a0ad-fcf21f0fde75,META,sell,stop,filled,15,15,631.16,2026-04-09 17:29:43.182986+00:00,2026-04-09 17:29:44.097624+00:00,2026-04-09 17:35:07.832958+00:00,ALPACA
782,eded5d5f-f91d-4c68-841a-78754a9a26db,AVGO,sell,stop,filled,27,27,355.922222,2026-04-09 17:31:12.137754+00:00,2026-04-09 17:31:14.723131+00:00,2026-04-09 17:35:06.025501+00:00,ALPACA
784,af117709-c42d-478b-ac5d-20c49a7a48f0,FUBO,buy,market,filled,813,813,12.29,2026-04-09 17:35:17.487238+00:00,2026-04-09 17:35:19.087693+00:00,2026-04-09 17:35:18.095019+00:00,ALPACA
818,655d7212-5302-491d-b9f6-7738c1b729cb,FUBO,sell,limit,canceled,813,0,,2026-04-09 17:35:19.108005+00:00,,2026-04-09 20:30:38.309082+00:00,
786,df28e6c0-b80a-4ca3-91f7-017849c60ef8,NU,sell,limit,filled,677,677,14.88,2026-04-09 15:55:12.731786+00:00,2026-04-09 17:39:13.572271+00:00,2026-04-09 17:45:08.987364+00:00,ALPACA
785,7affd174-948b-47e2-bd66-a6840b1bde92,GRAB,sell,limit,filled,721,721,3.72,2026-04-09 17:05:24.935219+00:00,2026-04-09 17:43:40.080469+00:00,2026-04-09 17:45:04.116896+00:00,ALPACA
787,5135c99d-c993-4a6f-a96f-a2d4ed2c8147,TSLA,buy,market,filled,28,28,348.25,2026-04-09 17:55:17.216305+00:00,2026-04-09 17:55:17.603435+00:00,2026-04-09 17:55:21.750898+00:00,ALPACA
817,ef132b5a-b565-4685-853f-2a102e014e44,TSLA,sell,limit,canceled,28,0,,2026-04-09 17:55:17.613017+00:00,,2026-04-09 20:30:37.273945+00:00,
788,577ceebd-45e1-4fcb-8133-fa099491fa09,TSLA,sell,stop,filled,28,28,346.944286,2026-04-09 18:02:33.563801+00:00,2026-04-09 18:02:36.642285+00:00,2026-04-09 18:05:06.528479+00:00,ALPACA
789,8edfd500-4974-47fc-893d-f31864f9b7e7,MARA,sell,stop,filled,1017,1017,9.71,2026-04-09 18:04:07.216394+00:00,2026-04-09 18:04:09.652087+00:00,2026-04-09 18:05:11.408648+00:00,ALPACA
790,1c815a7f-1ca7-4c76-8f9d-4b7319de3507,FUBO,sell,stop,filled,813,813,12.13,2026-04-09 18:16:49.882788+00:00,2026-04-09 18:16:54.811360+00:00,2026-04-09 18:25:03.188060+00:00,ALPACA
791,5fef6202-f2aa-42a3-92d3-b18ab15671a2,GRAB,buy,market,filled,2713,2713,3.69,2026-04-09 18:35:16.725156+00:00,2026-04-09 18:35:18.919430+00:00,2026-04-09 18:35:17.379039+00:00,ALPACA
816,70411e86-17e3-4abf-b48c-81bb0d833c43,GRAB,sell,limit,canceled,2713,0,,2026-04-09 18:35:18.937502+00:00,,2026-04-09 20:30:36.229147+00:00,
815,681fe14a-842d-4313-8d23-1e29f8a2ad14,NU,sell,stop,canceled,676,0,,2026-04-09 18:55:18.885013+00:00,,2026-04-09 20:30:35.517152+00:00,
792,8088d6fd-4847-4620-89d4-d30f959c79da,NU,buy,market,filled,676,676,14.8,2026-04-09 18:55:18.937650+00:00,2026-04-09 18:55:19.597662+00:00,2026-04-09 18:55:19.551559+00:00,ALPACA
793,ad1dbc77-cf00-4767-b590-603e23810996,MARA,buy,market,filled,1025,1025,9.77,2026-04-09 19:15:14.939673+00:00,2026-04-09 19:15:16.424263+00:00,2026-04-09 19:15:15.580217+00:00,ALPACA
814,858c683b-ac58-4c64-87ad-7501f9407476,MARA,sell,limit,canceled,1025,0,,2026-04-09 19:15:16.435942+00:00,,2026-04-09 20:30:34.139700+00:00,
794,d2be9413-2e37-4cfd-a175-ae87e85014d9,GRAB,sell,stop,filled,2713,2713,3.67,2026-04-09 19:22:45.008885+00:00,2026-04-09 19:22:46.036607+00:00,2026-04-09 19:25:03.829534+00:00,ALPACA
813,41b220fd-b489-4925-a6c6-fe1e2e60c50b,AMD,sell,stop,canceled,26,0,,2026-04-09 19:25:15.822398+00:00,,2026-04-09 20:30:33.433743+00:00,
795,99e32801-3de0-4eb0-9012-b6c3186e6539,AMD,buy,market,filled,26,26,236.630769,2026-04-09 19:25:15.829654+00:00,2026-04-09 19:25:19.891907+00:00,2026-04-09 19:25:16.457589+00:00,ALPACA
812,1e40a944-9ba7-422a-9afc-f80be9f9dac4,AMD,sell,limit,canceled,26,0,,2026-04-09 19:25:19.900306+00:00,,2026-04-09 20:30:33.087963+00:00,
811,cd4a624a-f593-421e-8b98-7d3482b3c0d1,MU,sell,stop,canceled,22,0,,2026-04-09 19:35:15.995341+00:00,,2026-04-09 20:30:32.386803+00:00,
796,ebf5c776-980e-4a76-bc7b-b849510f6a03,MU,buy,market,filled,22,22,423.282727,2026-04-09 19:35:16.011703+00:00,2026-04-09 19:35:17.553665+00:00,2026-04-09 19:35:16.719029+00:00,ALPACA
810,b46769e3-494e-4618-87d1-4ec3272e7b6e,MU,sell,limit,canceled,22,0,,2026-04-09 19:35:17.578885+00:00,,2026-04-09 20:30:32.035736+00:00,
797,10c2cfc8-fe87-4e8e-93d8-9b907e4d9f11,INTC,sell,limit,filled,165,165,61.68,2026-04-09 16:45:15.512992+00:00,2026-04-09 19:36:45.800064+00:00,2026-04-09 19:45:08.301462+00:00,ALPACA
809,1dcfd751-32d4-488d-8b79-9719ab6c265d,INTC,sell,stop,canceled,162,0,,2026-04-09 19:45:19.365458+00:00,,2026-04-09 20:30:31.352028+00:00,
798,10ef57b8-1f5f-4fb1-a8a8-9bdaf89a2850,INTC,buy,market,filled,162,162,61.666296,2026-04-09 19:45:19.384370+00:00,2026-04-09 19:45:27.765296+00:00,2026-04-09 19:45:20.006954+00:00,ALPACA
808,6e7c3b98-a812-46d0-8733-4e39eb534e26,INTC,sell,limit,canceled,162,0,,2026-04-09 19:45:28.472738+00:00,,2026-04-09 20:30:31.009171+00:00,
805,8eeb8866-35fb-40ff-a07a-cae118f24651,MARA,sell,stop,filled,1025,1025,9.65,2026-04-09 19:47:50.108791+00:00,2026-04-09 19:47:51.343603+00:00,2026-04-09 20:30:13.990664+00:00,ALPACA
806,32a72d42-fc3e-4098-aa1b-c25af24c966f,NU,sell,limit,filled,676,676,14.88,2026-04-09 18:55:19.620184+00:00,2026-04-09 19:52:05.722621+00:00,2026-04-09 20:30:15.537411+00:00,ALPACA
807,4799ce32-4046-444d-9e7a-455d4f0edbb4,WULF,sell,stop,filled,520,520,18.86,2026-04-09 19:53:20.496545+00:00,2026-04-09 19:53:21.668971+00:00,2026-04-09 20:30:26.162313+00:00,ALPACA
799,c49acdd8-2632-4da9-b258-60cf2a1ae39c,AMD,sell,market,filled,26,26,236.646539,2026-04-09 19:55:35.455440+00:00,2026-04-09 19:55:44.989139+00:00,2026-04-09 19:55:21.411784+00:00,ALPACA
802,f374bfd5-d933-4b82-b7e1-d3f2c86ca577,MU,sell,market,filled,22,22,421.36,2026-04-09 19:55:53.618212+00:00,2026-04-09 19:55:56.198516+00:00,2026-04-09 19:55:53.944627+00:00,ALPACA
801,8cfbfc38-10bd-436e-948c-feafc6f772b6,INTC,sell,market,filled,162,162,61.859321,2026-04-09 19:55:52.652800+00:00,2026-04-09 19:55:56.283846+00:00,2026-04-09 19:55:52.639940+00:00,ALPACA
803,d9056148-e25e-4354-a2a8-23b14ec152d5,NVDA,sell,market,filled,54,54,183.85,2026-04-09 19:55:55.113837+00:00,2026-04-09 19:55:56.797609+00:00,2026-04-09 19:55:55.217448+00:00,ALPACA
800,4ec9f5a4-66bc-4e8c-af2d-56aa47479b58,GOOGL,sell,market,filled,31,31,318.546452,2026-04-09 19:55:51.081902+00:00,2026-04-09 19:55:57.841932+00:00,2026-04-09 19:55:50.844021+00:00,ALPACA
804,fa0025d4-a8d2-449c-9c07-62164d826b50,RIVN,sell,market,filled,654,654,15.27,2026-04-09 19:55:56.276247+00:00,2026-04-09 19:55:59.065016+00:00,2026-04-09 19:55:56.582491+00:00,ALPACA
