id,trade_key,symbol,mode,side,direction,status,entry_time,exit_time,duration_minutes,shares,entry_price,exit_price,stop_price,target_price,exit_reason,signal_timestamp,signal_entry,signal_stop,signal_target,signal_confidence,order_id,parent_order_id,exit_order_id,realized_pnl,realized_pnl_percent,created_at,updated_at,broker
148,1eff581e-5818-4b9b-b510-005d04b6d360,BBAI,third,SELL,SHORT,CLOSED,2026-04-09 14:15:04.085195+00:00,2026-04-09 16:05:04.934527+00:00,110.01,2976,3.36,3.4,3.395,3.29,STOP_HIT,2026-04-09 14:15:04.085195+00:00,3.36,3.395,3.29,97,1eff581e-5818-4b9b-b510-005d04b6d360,1eff581e-5818-4b9b-b510-005d04b6d360,15a1ab2d-4000-49de-86e0-c14a6adb68d6,-119.04,-1.190476,2026-04-09 14:15:14.558602+00:00,2026-04-09 16:05:05.685823+00:00,ALPACA
160,c263df87-c72f-48df-afcb-b150bc5c5047,PTON,fifth,BUY,LONG,CLOSED,2026-04-09 16:05:07.282238+00:00,2026-04-09 16:15:04.162366+00:00,9.95,2100,4.76,4.72,4.71625,4.8475,STOP_HIT,2026-04-09 16:05:07.282238+00:00,4.76,4.71625,4.8475,86,c263df87-c72f-48df-afcb-b150bc5c5047,c263df87-c72f-48df-afcb-b150bc5c5047,a3cb5b72-d248-4428-9892-e6827411f94e,-84,-0.840336,2026-04-09 16:05:15.350624+00:00,2026-04-09 16:15:04.932695+00:00,ALPACA
165,8057a682-6445-4818-92ac-c3820a64c73f,TSLA,core_one,BUY,LONG,CLOSED,2026-04-09 16:25:07.518894+00:00,2026-04-09 16:35:02.762149+00:00,9.92,28,347.7,346.3832,346.461,350.178,STOP_HIT,2026-04-09 16:25:07.518894+00:00,347.7,346.461,350.178,92,8057a682-6445-4818-92ac-c3820a64c73f,8057a682-6445-4818-92ac-c3820a64c73f,e92dfc13-2609-4f41-a1a0-3e542111488f,-36.8704,-0.378717,2026-04-09 16:25:17.110816+00:00,2026-04-09 16:35:03.503941+00:00,ALPACA
159,74d7ffa5-c8be-4bc3-8a7f-f21e57aaf781,HOOD,fifth,BUY,LONG,CLOSED,2026-04-09 16:05:07.282238+00:00,2026-04-09 16:35:06.403751+00:00,29.99,138,72.41,71.67,71.66625,73.8975,STOP_HIT,2026-04-09 16:05:07.282238+00:00,72.41,71.66625,73.8975,88,74d7ffa5-c8be-4bc3-8a7f-f21e57aaf781,74d7ffa5-c8be-4bc3-8a7f-f21e57aaf781,ecbb9ea9-9cce-4d3d-871c-d8fcd10167d9,-102.12,-1.021958,2026-04-09 16:05:13.567922+00:00,2026-04-09 16:35:07.118836+00:00,ALPACA
161,e9c3a745-cb6d-4761-abf7-a1a88e83c66e,FUBO,fifth,BUY,LONG,CLOSED,2026-04-09 16:05:07.282238+00:00,2026-04-09 16:45:06.587704+00:00,39.99,804,12.425,12.23,12.2745,12.726,STOP_HIT,2026-04-09 16:05:07.282238+00:00,12.425,12.2745,12.726,89,e9c3a745-cb6d-4761-abf7-a1a88e83c66e,e9c3a745-cb6d-4761-abf7-a1a88e83c66e,99e9dad1-cdcc-4bad-9168-8421df6bc8f3,-156.78,-1.569416,2026-04-09 16:05:20.764991+00:00,2026-04-09 16:45:07.314482+00:00,ALPACA
166,2f69285e-78e8-452c-bfa9-309886b27b1c,AMD,core_one,BUY,LONG,CLOSED,2026-04-09 16:25:07.518894+00:00,2026-04-09 16:55:07.283804+00:00,30,27,235.67,234.1233,234.137,238.736,STOP_HIT,2026-04-09 16:25:07.518894+00:00,235.67,234.137,238.736,83,2f69285e-78e8-452c-bfa9-309886b27b1c,2f69285e-78e8-452c-bfa9-309886b27b1c,7fdd5c09-87da-4885-b1d9-66c836c61ae0,-41.7609,-0.656299,2026-04-09 16:25:18.894266+00:00,2026-04-09 16:55:08.037496+00:00,ALPACA
169,82387cc1-8378-43b2-830f-825fc41c25f3,AVGO,core_two,BUY,LONG,CLOSED,2026-04-09 16:35:09.708822+00:00,2026-04-09 17:35:05.540009+00:00,59.93,27,358.04,355.9222,355.9715,362.177,STOP_HIT,2026-04-09 16:35:09.708822+00:00,358.04,355.9715,362.177,77,82387cc1-8378-43b2-830f-825fc41c25f3,82387cc1-8378-43b2-830f-825fc41c25f3,eded5d5f-f91d-4c68-841a-78754a9a26db,-57.1806,-0.591498,2026-04-09 16:35:21.131094+00:00,2026-04-09 17:35:06.291109+00:00,ALPACA
167,9d769bf8-b642-4ac3-b023-6b36899c1bfb,META,core_two,BUY,LONG,CLOSED,2026-04-09 16:35:09.708822+00:00,2026-04-09 17:35:07.369915+00:00,59.96,15,634.14,631.16,631.298,639.824,STOP_HIT,2026-04-09 16:35:09.708822+00:00,634.14,631.298,639.824,83,9d769bf8-b642-4ac3-b023-6b36899c1bfb,9d769bf8-b642-4ac3-b023-6b36899c1bfb,4b6ea0da-7bf1-4339-a0ad-fcf21f0fde75,-44.7,-0.469928,2026-04-09 16:35:17.578886+00:00,2026-04-09 17:35:08.735784+00:00,ALPACA
172,803c787d-7a64-4fa7-97f7-32a59f48872c,GRAB,secondary,BUY,LONG,CLOSED,2026-04-09 17:05:12.000474+00:00,2026-04-09 17:45:03.617362+00:00,39.86,721,3.685,3.72,3.66575,3.7235,TARGET_HIT,2026-04-09 17:05:12.000474+00:00,3.685,3.66575,3.7235,75,803c787d-7a64-4fa7-97f7-32a59f48872c,803c787d-7a64-4fa7-97f7-32a59f48872c,7affd174-948b-47e2-bd66-a6840b1bde92,25.235,0.949796,2026-04-09 17:05:24.387891+00:00,2026-04-09 17:45:04.391080+00:00,ALPACA
158,6951d2d0-7c53-4828-8613-0e0f35542aa2,NU,fourth,BUY,LONG,CLOSED,2026-04-09 15:55:05.384237+00:00,2026-04-09 17:45:08.529384+00:00,110.05,677,14.765,14.88,14.7125,14.87,TARGET_HIT,2026-04-09 15:55:05.384237+00:00,14.765,14.7125,14.87,92,6951d2d0-7c53-4828-8613-0e0f35542aa2,6951d2d0-7c53-4828-8613-0e0f35542aa2,df28e6c0-b80a-4ca3-91f7-017849c60ef8,77.855,0.778869,2026-04-09 15:55:12.178988+00:00,2026-04-09 17:45:09.241437+00:00,ALPACA
