id,event_time,event_type,symbol,side,shares,price,mode,order_id,parent_order_id,status,created_at,broker
334,2026-04-09 17:35:05.540009+00:00,STOP_HIT,AVGO,BUY,27,355.9222,,eded5d5f-f91d-4c68-841a-78754a9a26db,82387cc1-8378-43b2-830f-825fc41c25f3,CLOSED,2026-04-09 17:35:05.762248+00:00,ALPACA
335,2026-04-09 17:35:07.369915+00:00,STOP_HIT,META,BUY,15,631.16,,4b6ea0da-7bf1-4339-a0ad-fcf21f0fde75,9d769bf8-b642-4ac3-b023-6b36899c1bfb,CLOSED,2026-04-09 17:35:07.580274+00:00,ALPACA
336,2026-04-09 17:35:13.166337+00:00,OPEN,FUBO,BUY,813,12.29,fifth,af117709-c42d-478b-ac5d-20c49a7a48f0,af117709-c42d-478b-ac5d-20c49a7a48f0,OPEN,2026-04-09 17:35:17.848745+00:00,ALPACA
337,2026-04-09 17:45:03.617362+00:00,TARGET_HIT,GRAB,BUY,721,3.72,,7affd174-948b-47e2-bd66-a6840b1bde92,803c787d-7a64-4fa7-97f7-32a59f48872c,CLOSED,2026-04-09 17:45:03.837203+00:00,ALPACA
338,2026-04-09 17:45:08.529384+00:00,TARGET_HIT,NU,BUY,677,14.88,,df28e6c0-b80a-4ca3-91f7-017849c60ef8,6951d2d0-7c53-4828-8613-0e0f35542aa2,CLOSED,2026-04-09 17:45:08.739899+00:00,ALPACA
339,2026-04-09 17:55:10.861328+00:00,OPEN,TSLA,BUY,28,348.27,core_one,5135c99d-c993-4a6f-a96f-a2d4ed2c8147,5135c99d-c993-4a6f-a96f-a2d4ed2c8147,OPEN,2026-04-09 17:55:20.835535+00:00,ALPACA
340,2026-04-09 18:05:06.035737+00:00,STOP_HIT,TSLA,BUY,28,346.9443,,577ceebd-45e1-4fcb-8133-fa099491fa09,5135c99d-c993-4a6f-a96f-a2d4ed2c8147,CLOSED,2026-04-09 18:05:06.264442+00:00,ALPACA
341,2026-04-09 18:05:10.929324+00:00,STOP_HIT,MARA,BUY,1017,9.71,,8edfd500-4974-47fc-893d-f31864f9b7e7,37c1a4fc-a2df-46ed-afbc-aa0d422113af,CLOSED,2026-04-09 18:05:11.154232+00:00,ALPACA
342,2026-04-09 18:25:02.688797+00:00,STOP_HIT,FUBO,BUY,813,12.13,,1c815a7f-1ca7-4c76-8f9d-4b7319de3507,af117709-c42d-478b-ac5d-20c49a7a48f0,CLOSED,2026-04-09 18:25:02.913636+00:00,ALPACA
343,2026-04-09 18:35:07.851366+00:00,OPEN,GRAB,BUY,2713,3.685,secondary,5fef6202-f2aa-42a3-92d3-b18ab15671a2,5fef6202-f2aa-42a3-92d3-b18ab15671a2,OPEN,2026-04-09 18:35:17.114464+00:00,ALPACA
344,2026-04-09 18:55:09.886311+00:00,OPEN,NU,BUY,676,14.775,fourth,8088d6fd-4847-4620-89d4-d30f959c79da,8088d6fd-4847-4620-89d4-d30f959c79da,OPEN,2026-04-09 18:55:19.285225+00:00,ALPACA
345,2026-04-09 19:15:09.824759+00:00,OPEN,MARA,BUY,1025,9.75,sixth,ad1dbc77-cf00-4767-b590-603e23810996,ad1dbc77-cf00-4767-b590-603e23810996,OPEN,2026-04-09 19:15:15.326481+00:00,ALPACA
346,2026-04-09 19:25:03.346445+00:00,STOP_HIT,GRAB,BUY,2713,3.67,,d2be9413-2e37-4cfd-a175-ae87e85014d9,5fef6202-f2aa-42a3-92d3-b18ab15671a2,CLOSED,2026-04-09 19:25:03.559847+00:00,ALPACA
347,2026-04-09 19:25:09.164139+00:00,OPEN,AMD,BUY,26,236.58,core_one,99e32801-3de0-4eb0-9012-b6c3186e6539,99e32801-3de0-4eb0-9012-b6c3186e6539,OPEN,2026-04-09 19:25:16.199470+00:00,ALPACA
348,2026-04-09 19:35:09.294160+00:00,OPEN,MU,BUY,22,422.31,core_two,ebf5c776-980e-4a76-bc7b-b849510f6a03,ebf5c776-980e-4a76-bc7b-b849510f6a03,OPEN,2026-04-09 19:35:16.455951+00:00,ALPACA
349,2026-04-09 19:45:07.792195+00:00,TARGET_HIT,INTC,BUY,165,61.68,,10c2cfc8-fe87-4e8e-93d8-9b907e4d9f11,f1688c81-2688-4c6b-bb39-8058eef6b974,CLOSED,2026-04-09 19:45:08.021277+00:00,ALPACA
350,2026-04-09 19:45:12.429576+00:00,OPEN,INTC,BUY,162,61.635,core_three,10ef57b8-1f5f-4fb1-a8a8-9bdaf89a2850,10ef57b8-1f5f-4fb1-a8a8-9bdaf89a2850,OPEN,2026-04-09 19:45:19.754020+00:00,ALPACA
351,2026-04-09 20:30:07.910299+00:00,MANUAL_CLOSE,INTC,BUY,162,61.8593,,8cfbfc38-10bd-436e-948c-feafc6f772b6,10ef57b8-1f5f-4fb1-a8a8-9bdaf89a2850,CLOSED,2026-04-09 20:30:08.217102+00:00,ALPACA
352,2026-04-09 20:30:09.821740+00:00,MANUAL_CLOSE,MU,BUY,22,421.36,,f374bfd5-d933-4b82-b7e1-d3f2c86ca577,ebf5c776-980e-4a76-bc7b-b849510f6a03,CLOSED,2026-04-09 20:30:10.108196+00:00,ALPACA
353,2026-04-09 20:30:11.814035+00:00,MANUAL_CLOSE,AMD,BUY,26,236.6465,,c49acdd8-2632-4da9-b258-60cf2a1ae39c,99e32801-3de0-4eb0-9012-b6c3186e6539,CLOSED,2026-04-09 20:30:12.109313+00:00,ALPACA
354,2026-04-09 20:30:13.352309+00:00,STOP_HIT,MARA,BUY,1025,9.65,,8eeb8866-35fb-40ff-a07a-cae118f24651,ad1dbc77-cf00-4767-b590-603e23810996,CLOSED,2026-04-09 20:30:13.639364+00:00,ALPACA
355,2026-04-09 20:30:14.876394+00:00,TARGET_HIT,NU,BUY,676,14.88,,32a72d42-fc3e-4098-aa1b-c25af24c966f,8088d6fd-4847-4620-89d4-d30f959c79da,CLOSED,2026-04-09 20:30:15.180190+00:00,ALPACA
356,2026-04-09 20:30:20.237891+00:00,MANUAL_CLOSE,RIVN,BUY,654,15.27,,fa0025d4-a8d2-449c-9c07-62164d826b50,7a6a3abd-515d-485a-913c-0a7f48440145,CLOSED,2026-04-09 20:30:20.522676+00:00,ALPACA
357,2026-04-09 20:30:22.124039+00:00,MANUAL_CLOSE,GOOGL,BUY,31,318.5465,,4ec9f5a4-66bc-4e8c-af2d-56aa47479b58,e01caf6d-12e1-4451-afcb-c90876851748,CLOSED,2026-04-09 20:30:22.415239+00:00,ALPACA
358,2026-04-09 20:30:23.997774+00:00,MANUAL_CLOSE,NVDA,BUY,54,183.85,,d9056148-e25e-4354-a2a8-23b14ec152d5,8f8e000e-0bdb-43d8-9878-9b1e977aef51,CLOSED,2026-04-09 20:30:24.282107+00:00,ALPACA
359,2026-04-09 20:30:25.533328+00:00,STOP_HIT,WULF,BUY,520,18.86,,4799ce32-4046-444d-9e7a-455d4f0edbb4,ba7fd5da-6896-4d03-bb92-61c590ea6e05,CLOSED,2026-04-09 20:30:25.819209+00:00,ALPACA
