timestamp_utc,event_type,symbol,name,mode,trade_source,broker,broker_order_id,broker_parent_order_id,broker_status,broker_filled_qty,broker_filled_avg_price,broker_exit_order_id,shares,entry_price,stop_price,target_price,exit_price,exit_reason,status,notes,linked_signal_timestamp_utc,linked_signal_entry,linked_signal_stop,linked_signal_target,linked_signal_confidence,inferred_stop_hit,inferred_target_hit,inferred_first_level_hit,inferred_analysis_start_utc,inferred_analysis_end_utc
2026-03-27T14:50:12.803032+00:00,STOP_HIT,AVGO,Broadcom,core_two,ALPACA_PAPER,ALPACA,3bb7ad08-002b-4f24-afcb-0ec976a44c85,3bb7ad08-002b-4f24-afcb-0ec976a44c85,filled,1.0,304.2,d85b2ab4-db8f-422d-b906-84bcf9e702ec,1,302.75,304.15700000000004,299.936,304.2,STOP_HIT,CLOSED,Paper trade exit synced from Alpaca. exit_event=STOP_HIT,2026-03-27T14:40:01.526477+00:00,302.75,304.15700000000004,299.936,91.0,,,,,
2026-03-27T14:55:03.961781+00:00,STOP_HIT,PLTR,Palantir,core_one,ALPACA_PAPER,ALPACA,68f95315-3be8-4650-91ce-41aa14456559,68f95315-3be8-4650-91ce-41aa14456559,filled,3.0,143.96,5ad896ee-a7dc-4449-9bcb-27cda161425d,3,143.25,143.99025,141.7695,143.96,STOP_HIT,CLOSED,Paper trade exit synced from Alpaca. exit_event=STOP_HIT,2026-03-27T14:30:01.503294+00:00,143.25,143.99025,141.7695,97.0,,,,,
2026-03-27T14:55:04.844003+00:00,STOP_HIT,SOFI,SoFi,primary,ALPACA_PAPER,ALPACA,f991d1b3-2b3b-4378-aa3e-facd51adc862,f991d1b3-2b3b-4378-aa3e-facd51adc862,filled,32.0,15.5025,b75422b3-21e1-47b6-b5c0-1d434163cedf,32,15.41,15.4975,15.235,15.5025,STOP_HIT,CLOSED,Paper trade exit synced from Alpaca. exit_event=STOP_HIT,2026-03-27T14:50:01.533648+00:00,15.41,15.4975,15.235,91.0,,,,,
2026-03-27T14:55:05.454020+00:00,STOP_HIT,NIO,NIO,primary,ALPACA_PAPER,ALPACA,247f9872-9381-4a9d-a522-834dbe928511,247f9872-9381-4a9d-a522-834dbe928511,filled,91.0,5.48,71ba9062-bc6c-4991-a75e-6d8b2fc32b06,91,5.45,5.478,5.394,5.48,STOP_HIT,CLOSED,Paper trade exit synced from Alpaca. exit_event=STOP_HIT,2026-03-27T14:50:01.533648+00:00,5.45,5.478,5.394,91.0,,,,,
2026-03-27T15:00:01.509428+00:00,OPEN,ACHR,Archer Aviation,secondary,ALPACA_PAPER,ALPACA,8c5d1096-4c31-4134-a459-d8d9f4cb3434,8c5d1096-4c31-4134-a459-d8d9f4cb3434,pending_new,,,,96,5.185,5.2147499999999996,5.1255,,,OPEN,Paper SELL bracket order submitted. client_order_id=scanner-ACHR-SELL-51850-96,2026-03-27T15:00:01.509428+00:00,5.185,5.2147499999999996,5.1255,98.0,,,,,
2026-03-27T15:00:01.509428+00:00,OPEN,QS,QuantumScape,secondary,ALPACA_PAPER,ALPACA,74c3e15b-02ae-439f-8c85-35708a4d4770,74c3e15b-02ae-439f-8c85-35708a4d4770,pending_new,,,,79,6.31,6.337999999999999,6.254,,,OPEN,Paper SELL bracket order submitted. client_order_id=scanner-QS-SELL-63100-79,2026-03-27T15:00:01.509428+00:00,6.31,6.337999999999999,6.254,97.0,,,,,
2026-03-27T15:10:00.837675+00:00,OPEN,RKLB,Rocket Lab,third,ALPACA_PAPER,ALPACA,b8d9a0a4-657c-430f-ab38-6dbe3e7247e3,b8d9a0a4-657c-430f-ab38-6dbe3e7247e3,pending_new,,,,8,62.03,62.589999999999996,60.910000000000004,,,OPEN,Paper SELL bracket order submitted. client_order_id=scanner-RKLB-SELL-620300-8,2026-03-27T15:10:00.837675+00:00,62.03,62.589999999999996,60.910000000000004,70.0,,,,,
2026-03-27T15:10:00.837675+00:00,OPEN,BBAI,BigBear.ai,third,ALPACA_PAPER,ALPACA,6ce39db5-82eb-46a2-a657-3f114a9f50f5,6ce39db5-82eb-46a2-a657-3f114a9f50f5,pending_new,,,,155,3.225,3.239,3.1970000000000005,,,OPEN,Paper SELL bracket order submitted. client_order_id=scanner-BBAI-SELL-32250-155,2026-03-27T15:10:00.837675+00:00,3.225,3.239,3.1970000000000005,93.0,,,,,
2026-03-27T15:10:09.536840+00:00,STOP_HIT,JOBY,Joby Aviation,primary,ALPACA_PAPER,ALPACA,f70e4f92-9011-4638-a1b7-f5dd49bf3319,f70e4f92-9011-4638-a1b7-f5dd49bf3319,filled,60.0,8.27,c7ec4b74-11aa-450b-8a4d-d7e725d346cd,60,8.205,8.26275,8.089500000000001,8.27,STOP_HIT,CLOSED,Paper trade exit synced from Alpaca. exit_event=STOP_HIT,2026-03-27T14:50:01.533648+00:00,8.205,8.26275,8.089500000000001,89.0,,,,,
2026-03-27T15:20:01.726319+00:00,OPEN,QBTS,D-Wave Quantum,fourth,ALPACA_PAPER,ALPACA,149a850d-eba7-4fe4-8198-657e41425ea0,149a850d-eba7-4fe4-8198-657e41425ea0,pending_new,,,,35,14.035,14.115499999999999,13.874,,,OPEN,Paper SELL bracket order submitted. client_order_id=scanner-QBTS-SELL-140350-35,2026-03-27T15:20:01.726319+00:00,14.035,14.115499999999999,13.874,70.0,,,,,
