symbol,name,mode,core_group,scan_source,market_phase,side,shares,entry_timestamp_utc,exit_timestamp_utc,entry_price,exit_price,exit_reason,confidence,broker_parent_order_id,pnl,outcome
SOFI,SoFi,primary,non_core,SCHEDULED,MORNING,SELL,32.0,2026-03-27T14:50:01.533648+00:00,2026-03-27T14:55:04.844003+00:00,15.41,15.5025,STOP_HIT,91.0,f991d1b3-2b3b-4378-aa3e-facd51adc862,-2.96,LOSS
NIO,NIO,primary,non_core,SCHEDULED,MORNING,SELL,91.0,2026-03-27T14:50:01.533648+00:00,2026-03-27T14:55:05.454020+00:00,5.45,5.48,STOP_HIT,91.0,247f9872-9381-4a9d-a522-834dbe928511,-2.73,LOSS
JOBY,Joby Aviation,primary,non_core,SCHEDULED,MORNING,SELL,60.0,2026-03-27T14:50:01.533648+00:00,2026-03-27T15:10:09.536840+00:00,8.205,8.27,STOP_HIT,89.0,f70e4f92-9011-4638-a1b7-f5dd49bf3319,-3.9,LOSS
BBAI,BigBear.ai,third,non_core,SCHEDULED,MORNING,SELL,155.0,2026-03-27T15:10:00.837675+00:00,2026-03-27T15:20:10.883551+00:00,3.225,3.2,TARGET_HIT,93.0,6ce39db5-82eb-46a2-a657-3f114a9f50f5,3.875,WIN
AMD,AMD,core_one,core,SCHEDULED,MORNING,SELL,2.0,2026-03-27T14:30:01.503294+00:00,2026-03-27T15:25:03.751483+00:00,199.05,200.035,STOP_HIT,101.0,796b8f9a-ff4a-499e-be8e-0805037f6157,-1.97,LOSS
ACHR,Archer Aviation,secondary,non_core,SCHEDULED,MORNING,SELL,96.0,2026-03-27T15:00:01.509428+00:00,2026-03-27T15:25:04.865527+00:00,5.185,5.21,STOP_HIT,98.0,8c5d1096-4c31-4134-a459-d8d9f4cb3434,-2.4,LOSS
QS,QuantumScape,secondary,non_core,SCHEDULED,MORNING,SELL,79.0,2026-03-27T15:00:01.509428+00:00,2026-03-27T15:25:05.485682+00:00,6.31,6.25,TARGET_HIT,97.0,74c3e15b-02ae-439f-8c85-35708a4d4770,4.74,WIN
QBTS,D-Wave Quantum,fourth,non_core,SCHEDULED,MORNING,SELL,35.0,2026-03-27T15:20:01.726319+00:00,2026-03-27T15:25:06.361773+00:00,14.035,14.128,STOP_HIT,70.0,149a850d-eba7-4fe4-8198-657e41425ea0,-3.255,LOSS
GRAB,Grab,secondary,non_core,SCHEDULED,MORNING,SELL,140.0,2026-03-27T14:00:01.569351+00:00,2026-03-27T15:35:03.681152+00:00,3.565,3.6,STOP_HIT,99.0,812a8568-bc0b-4596-af8b-aa6908c2e8e5,-4.9,LOSS
IONQ,IonQ,fourth,non_core,SCHEDULED,MORNING,SELL,17.0,2026-03-27T14:20:00.939825+00:00,2026-03-27T15:35:04.541617+00:00,28.49,28.7,STOP_HIT,70.0,a54b4c5c-f4bc-4550-9fb4-70d1dc3327a7,-3.57,LOSS
RKLB,Rocket Lab,third,non_core,SCHEDULED,MORNING,SELL,8.0,2026-03-27T15:10:00.837675+00:00,2026-03-27T15:35:05.645246+00:00,62.03,62.61,STOP_HIT,70.0,b8d9a0a4-657c-430f-ab38-6dbe3e7247e3,-4.64,LOSS
HIMS,Hims & Hers,primary,non_core,SCHEDULED,MORNING,SELL,25.0,2026-03-27T14:50:01.533648+00:00,2026-03-27T16:15:03.841302+00:00,19.88,19.61,TARGET_HIT,99.0,8fc682a3-1dde-4b4e-adea-21615a3d7693,6.75,WIN
IONQ,IonQ,fourth,non_core,SCHEDULED,MIDDAY,SELL,17.0,2026-03-27T16:20:01.540060+00:00,2026-03-27T16:40:09.585248+00:00,28.5,28.16,TARGET_HIT,70.0,87cb299c-1d4a-448d-990e-3086cb4dd7df,5.78,WIN
